ID,Metal,BDE,M-H,VMH,CoordNum,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum
TUXCAT.Ni.xyz,Ni,50.24,1.479562,1922.5,4,1,0,1,1,0,0,0,0,0,0,0,7,10
TUXYIW.W.xyz,W,63.41,1.747987,1814.8,9,1,0,1,0,0,0,1,0,0,0,0,0,6
TUXYOC.W.xyz,W,58.85,1.736119,1877.1,9,1,0,1,0,0,0,1,0,0,0,0,0,6
TUYSUB.Pt.xyz,Pt,68.54,1.606004,2022.2,4,1,0,1,0,0,0,0,1,0,0,0,0,10
TUYTEM.Pt.xyz,Pt,62.16,1.55595,2216.2,5,1,0,1,1,0,0,0,0,0,0,1,7,10
TUZJEE.Ir.xyz,Ir,74.63,1.584802,2154.2,6,1,0,1,0,0,0,0,1,0,1,0,17,9
UBATEW.Os.xyz,Os,60.55,1.612918,2159.5,9,1,0,1,0,0,0,0,1,0,0,1,0,8
UBILUP.Ir.xyz,Ir,68.9,1.570614,2216,7,2,0,1,1,0,0,0,0,0,1,0,0,9
UBOYEP.Ir.xyz,Ir,70.2,1.606495,2070,9,1,0,1,0,0,0,1,1,0,0,1,0,9
UBUFOQ.Pt.xyz,Pt,76.85,1.587718,2060.7,4,1,0,1,0,1,0,0,0,0,0,0,8,10
UCEVEE.Ir.xyz,Ir,68.68,1.543123,2336.6,6,1,0,1,0,0,0,0,0,0,1,1,0,9
UCEVII.Ir.xyz,Ir,66.96,1.577865,2171.2,8,1,0,1,0,0,0,0,0,0,1,1,0,9
UCEWUV.Ir.xyz,Ir,73.23,1.580974,2165.2,6,2,0,0,0,0,0,0,1,1,0,0,16,9
UCINEA.Ir.xyz,Ir,65.59,1.546969,2350,7,1,0,1,1,1,0,0,1,0,0,0,0,9
UCINIE.Ir.xyz,Ir,66.79,1.620028,2124.6,6,1,0,1,0,1,0,0,1,0,0,0,6,9
UCINOK.Ir.xyz,Ir,69.97,1.615511,2064.3,6,1,0,1,0,0,0,0,1,0,0,0,6,9
UCISEH.Ir.xyz,Ir,62.07,1.591014,2083.5,8,1,0,1,1,0,0,0,0,0,0,0,0,9
UCOHIH.Ru.xyz,Ru,62.04,1.576243,2072.3,6,1,0,1,1,0,0,0,1,0,0,1,0,8
UCOJIJ.Ru.xyz,Ru,60.35,1.572225,2083.8,6,1,0,1,1,0,0,0,1,0,0,1,0,8
UCULUC.Ru.xyz,Ru,58.76,1.612773,1908.2,6,1,0,1,1,0,0,0,1,1,0,1,15,8
UCUSIU.Ir.xyz,Ir,75.74,1.582723,2173.6,6,2,0,1,1,0,0,0,1,0,0,1,7,9
UCUTIX.Cd.xyz,Cd,63.05,1.683908,1710.1,4,1,0,0,1,0,0,0,0,0,0,0,0,12
UCUTIX.Zn.xyz,Zn,73.11,1.55227,1808.7,4,1,0,0,1,0,0,0,0,0,0,0,0,12
