ID,Metal,Group,M-H,VMH1,VMH,BDE,Hydri-G,CoordNum,EN-M,EN-H,EN-B,EN-C,EN-N,EN-O,EN-F,EN-Si,EN-P,EN-S,EN-Cl,EA-M,EA-H,EA-B,EA-C,EA-N,EA-O,EA-F,EA-Si,EA-P,EA-S,EA-Cl,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum,AN-M,AR-M,AW-M,AV-M,MR-M,DP-M,mc-chi2,mc-chi3
IBAYAO.Os.xyz,Os,VIII ,1.607823,2231.9,2142.6,64.9,218.37,6,2.2,2.17,0,2.45,0,0,0,0,2.46,0,3.05,25.37,17.39,0,29.12,0,0,0,0,17.2,0,83.41,1,0,1,0,0,0,0,2,0,2,0,17,8,76,130,190.2,8.43,126,57,39.27,111.65
IBAZOC.Ir.xyz,Ir,VIII ,1.595255,2173.5,2086.6,67.44,201.99,8,2.2,2.17,0,2.45,0,0,0,0,2.46,0,0,36.09,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,6,0,0,0,0,1,0,0,0,0,9,77,135,192.2,8.54,127,54,60.17,100.65
IBENUA.Ir.xyz,Ir,VIII ,1.669915,1915.7,1839.1,75.73,186.34,4,2.2,2.17,0,2.45,0,0,0,0,2.46,0,0,36.09,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,1,0,0,0,0,2,0,0,0,6,9,77,135,192.2,8.54,127,54,47.04,89.76
IBEPIQ.Ir.xyz,Ir,VIII ,1.532354,2466.4,2367.7,67.7,304.71,5,2.2,2.17,0,2.45,0,0,0,0,2.46,0,3.05,36.09,17.39,0,29.12,0,0,0,0,17.2,0,83.41,1,0,1,0,0,0,0,2,0,1,1,0,9,77,135,192.2,8.54,127,54,47.04,89.76
IBEZOE.Ru.xyz,Ru,VIII ,1.600521,2030.1,1948.9,62.13,288.76,9,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,6,0,0,0,0,2,0,0,1,6,8,44,130,101.1,8.3,125,72,64.24,96.36
IBICRH.Ru.xyz,Ru,VIII ,1.632548,1945.4,1867.6,62.91,280.48,6,2.3,2.17,0,2.45,0,0,0,0,0,0,0,24.21,17.39,0,29.12,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,6,8,44,130,101.1,8.3,125,72,33.44,28.05
IBINIR.Ir.xyz,Ir,VIII ,1.569722,2322.4,2229.5,34.61,158.48,8,2.2,2.17,0,2.45,0,0,0,0,2.46,0,0,36.09,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,5,0,0,0,0,2,0,0,0,0,9,77,135,192.2,8.54,127,54,44.11,86.13
IBINOW.Os.xyz,Os,VIII ,1.716486,1886.3,1810.8,58.75,189.09,6,2.2,2.17,0,2.45,0,0,0,0,2.46,0,0,25.37,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,3,0,0,0,0,2,0,0,0,6,8,76,130,190.2,8.43,126,57,52.51,72.93
IBIQES.Fe.xyz,Fe,VIII ,1.517193,1938.1,1860.6,47.85,186.99,6,1.8,2.17,0,0,2.93,0,0,2.12,2.46,0,0,3.76,17.39,0,0,0.01,0,0,31.94,17.2,0,0,1,0,0,1,0,0,1,3,0,0,0,0,8,26,140,55.8,7.1,117,62,61.56,106.87
ICADID.Co.xyz,Co,VIII ,1.540467,1800.3853,1728.4,51.68,203.15,4,1.9,2.17,0,0,2.93,0,0,0,2.46,0,0,15.24,17.39,0,0,0.01,0,0,0,17.2,0,0,1,0,0,1,0,0,0,2,0,0,0,7,9,27,135,58.9,6.7,116,55,38.35,74.07
ICATAH.Rh.xyz,Rh,VIII ,1.547594,2114,2029.4,62.72,218.28,7,2.3,2.17,0,2.45,2.93,0,0,0,0,0,0,26.22,17.39,0,29.12,0.01,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,7,9,45,135,102.9,8.3,125,66,69.93,88.67
ICEGOQ.Ni.xyz,Ni,VIII ,1.522362,2025.0764,1944.1,52.44,176.73,4,1.9,2.17,0,2.45,0,0,0,0,2.46,0,0,26.66,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,2,0,0,0,0,1,0,0,0,15,10,28,135,58.7,6.6,115,49,32.97,58.45
ICEGUW.Ni.xyz,Ni,VIII ,1.519356,2003.118,1923,51.23,173.56,4,1.9,2.17,0,2.45,0,0,0,0,2.46,0,0,26.66,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,2,0,0,0,0,1,0,0,0,15,10,28,135,58.7,6.6,115,49,32.97,58.45
ICIPES.Os.xyz,Os,VIII ,1.640716,2163.3,2076.8,67.33,295.78,7,2.2,2.17,0,2.45,0,3.61,0,0,2.46,0,0,25.37,17.39,0,29.12,0,33.69,0,0,17.2,0,0,1,0,3,0,1,0,0,2,0,0,1,0,8,76,130,190.2,8.43,126,57,66.2,106.81
ICONOG.Fe.xyz,Fe,VIII ,1.526413,1857,1782.7,43.56,155.3,6,1.8,2.17,0,2.45,2.93,0,0,0,0,0,0,3.76,17.39,0,29.12,0.01,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,7,8,26,140,55.8,7.1,117,62,52.3,72.74
ICUBUG.Rh.xyz,Rh,VIII ,1.542992,2172,2085.1,62.82,196.09,6,2.3,2.17,0,0,2.93,0,0,2.12,2.46,0,3.05,26.22,17.39,0,0,0.01,0,0,31.94,17.2,0,83.41,1,0,0,2,0,0,1,1,0,1,0,7,9,45,135,102.9,8.3,125,66,62.2,98.27
ICUCAN.Rh.xyz,Rh,VIII ,1.552351,2145.6,2059.8,60.04,308.82,6,2.3,2.17,0,2.45,2.93,0,0,2.12,0,0,0,26.22,17.39,0,29.12,0.01,0,0,31.94,0,0,0,1,0,2,2,0,0,1,0,0,0,1,7,9,45,135,102.9,8.3,125,66,66.42,80.03
ICUGUI.Rh.xyz,Rh,VIII ,1.553162,2147.9,2062,64.41,216.07,6,2.3,2.17,0,0,2.93,0,0,0,2.46,0,0,26.22,17.39,0,0,0.01,0,0,0,17.2,0,0,2,0,0,2,0,0,0,2,0,0,0,7,9,45,135,102.9,8.3,125,66,60.37,129.82
IDARAH.Zr.xyz,Zr,IVB ,1.855909,1582.8,1519.5,57.38,182.77,13,1.3,2.17,0,2.45,0,0,0,0,2.46,0,0,9.82,17.39,0,29.12,0,0,0,0,17.2,0,0,2,0,10,0,0,0,0,1,0,0,0,0,4,40,155,91.2,14.1,145,112,43.62,81.66
IDAVIV.Fe.xyz,Fe,VIII ,1.522538,1952.8,1874.7,49.58,188.67,6,1.8,2.17,1.88,2.45,0,0,0,0,2.46,0,0,3.76,17.39,6.39,29.12,0,0,0,0,17.2,0,0,1,1,2,0,0,0,0,2,0,0,0,0,8,26,140,55.8,7.1,117,62,54.42,60.02
IDAVOB.Fe.xyz,Fe,VIII ,1.52198,1938.9,1861.3,48.23,252.33,6,1.8,2.17,1.88,2.45,0,0,0,0,2.46,0,0,3.76,17.39,6.39,29.12,0,0,0,0,17.2,0,0,1,1,2,0,0,0,0,2,0,0,1,0,8,26,140,55.8,7.1,117,62,54.42,64.05
IDEQEN.Os.xyz,Os,VIII ,1.585035,2282.9,2191.6,51.54,215.91,6,2.2,2.17,0,2.45,0,0,0,0,2.46,0,3.05,25.37,17.39,0,29.12,0,0,0,0,17.2,0,83.41,2,0,1,0,0,0,0,2,0,1,0,0,8,76,130,190.2,8.43,126,57,44.88,97.9
IDEQIR.Os.xyz,Os,VIII ,1.589143,2255.6,2165.4,52.74,201.29,6,2.2,2.17,0,2.45,0,0,0,0,2.46,0,2.57,25.37,17.39,0,29.12,0,0,0,0,17.2,0,70.54,2,0,1,0,0,0,0,2,0,1,0,0,8,76,130,190.2,8.43,126,57,39.27,81.07
IDERIT.Ir.xyz,Ir,VIII ,1.557108,2358.6,2264.3,69.24,210.78,7,2.2,2.17,0,2.45,0,3.61,0,0,2.46,0,3.05,36.09,17.39,0,29.12,0,33.69,0,0,17.2,0,83.41,1,0,1,0,2,0,0,2,0,1,0,0,9,77,135,192.2,8.54,127,54,39.27,72.93
IDEROZ.Ir.xyz,Ir,VIII ,1.556451,2370.7,2275.9,69.55,210.12,7,2.2,2.17,0,2.45,0,3.61,0,0,2.46,0,2.83,36.09,17.39,0,29.12,0,33.69,0,0,17.2,0,77.6,1,0,1,0,2,0,0,2,0,1,0,0,9,77,135,192.2,8.54,127,54,39.27,72.93
IDERUF.Ir.xyz,Ir,VIII ,1.557113,2359.4,2265,69.21,212.08,7,2.2,2.17,0,2.45,0,3.61,0,0,2.46,0,2.57,36.09,17.39,0,29.12,0,33.69,0,0,17.2,0,70.54,1,0,1,0,2,0,0,2,0,1,0,0,9,77,135,192.2,8.54,127,54,39.27,72.93
IDESUG.Pt.xyz,Pt,VIII ,1.565312,2279.9,2188.7,72.79,238.58,5,2.3,2.17,0,2.45,2.93,0,0,0,0,0,0,49.07,17.39,0,29.12,0.01,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,7,10,78,135,195.1,9.1,130,48,46.08,56.98
IDEXIB.Ti.xyz,Ti,IVB ,1.655522,1823.3,1750.4,38.7,185.82,13,1.5,2.17,0,2.45,2.93,0,0,0,0,0,0,1.82,17.39,0,29.12,0.01,0,0,0,0,0,0,1,0,10,2,0,0,0,0,0,0,0,0,4,22,140,47.9,10.6,132,100,36.54,34.27
IDEYIZ.Ru.xyz,Ru,VIII ,1.588506,2113.7,2029.2,23.65,168.36,7,2.3,2.17,1.88,2.45,0,3.61,0,0,2.46,0,0,24.21,17.39,6.39,29.12,0,33.69,0,0,17.2,0,0,1,2,1,0,1,0,0,2,0,0,0,0,8,44,130,101.1,8.3,125,72,69.63,109.54
IFACID.Zr.xyz,Zr,IVB ,1.827945,1696.7,1628.8,58.66,278.73,12,1.3,2.17,0,2.45,0,3.61,0,0,0,0,0,9.82,17.39,0,29.12,0,33.69,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,1,0,4,40,155,91.2,14.1,145,112,37.31,79.33
IFAHIJ.Ru.xyz,Ru,VIII ,1.581338,2138.1,2052.6,59.81,193.32,9,2.3,2.17,0,2.45,0,0,0,0,0,0,0,24.21,17.39,0,29.12,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,8,44,130,101.1,8.3,125,72,41.43,95.04
IFAJAD.Ru.xyz,Ru,VIII ,1.582505,2153.8,2067.6,63,209.75,9,2.3,2.17,0,2.45,0,0,0,2.12,0,0,0,24.21,17.39,0,29.12,0,0,0,31.94,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,8,44,130,101.1,8.3,125,72,67.94,98.89
IFAQOV.Nb.xyz,Nb,VB ,1.747117,1823.6,1750.7,56.96,217.18,13,1.5,2.17,0,2.45,0,0,0,2.12,0,0,0,20.59,17.39,0,29.12,0,0,0,31.94,0,0,0,1,0,10,0,0,0,2,0,0,0,0,0,5,41,145,92.9,10.8,134,98,51.58,68.56
IFEPIV.Fe.xyz,Fe,VIII ,1.520748,1880.8,1805.6,46.95,177.61,6,1.8,2.17,0,0,0,0,0,0,2.46,2.46,0,3.76,17.39,0,0,0,0,0,0,17.2,46.6,0,1,0,0,0,0,0,0,4,1,0,0,15,8,26,140,55.8,7.1,117,62,60.66,154.27
IFEWAT.Co.xyz,Co,VIII ,1.44023,2175.4,2088.4,40.67,271.44,8,1.9,2.17,0,2.45,2.93,3.61,0,0,2.46,0,0,15.24,17.39,0,29.12,0.01,33.69,0,0,17.2,0,0,1,0,3,1,1,0,0,2,0,0,1,8,9,27,135,58.9,6.7,116,55,56.87,112.97
IFIKOX.Ru.xyz,Ru,VIII ,1.599492,2058,1975.7,57.16,178.24,6,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,3,0,0,0,0,2,0,0,0,15,8,44,130,101.1,8.3,125,72,69.89,95.37
IFIKUD.Ru.xyz,Ru,VIII ,1.635836,1995.8,1916,59.31,175.47,6,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,3,0,0,0,0,2,0,0,0,6,8,44,130,101.1,8.3,125,72,65.82,100.21
IFOBOX.Au.xyz,Au,IB ,1.631144,1981.4,1902.1,60.88,210.87,4,2.5,2.17,0,2.45,0,0,0,0,2.46,0,0,53.25,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,2,0,0,0,0,1,0,0,0,6,11,79,135,197,10.2,134,36,45.34,87.38
IFOKEU.Y.xyz,Y,IIIB ,2.038535,1338,1284.5,71.42,177.22,8,1.2,2.17,0,2.45,0,3.61,0,0,0,0,0,7.08,17.39,0,29.12,0,33.69,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,3,39,180,88.9,19.8,162,162,36.48,70.7
IFOKOE.Y.xyz,Y,IIIB ,2.035164,1369.1,1314.3,73.94,186,10,1.2,2.17,0,2.45,0,3.61,0,0,0,0,0,7.08,17.39,0,29.12,0,33.69,0,0,0,0,0,4,0,5,0,1,0,0,0,0,0,0,0,3,39,180,88.9,19.8,162,162,17.87,47.76
IFOMAS.Ir.xyz,Ir,VIII ,1.608762,2156.3,2070,69.78,208.11,6,2.2,2.17,0,2.45,0,0,0,2.12,2.46,0,0,36.09,17.39,0,29.12,0,0,0,31.94,17.2,0,0,1,0,1,0,0,0,1,3,0,0,0,15,9,77,135,192.2,8.54,127,54,79.11,170.94
IFOMIA.Ir.xyz,Ir,VIII ,1.614797,2133.9,2048.5,71.81,198.41,6,2.2,2.17,0,2.45,0,0,0,2.12,2.46,0,0,36.09,17.39,0,29.12,0,0,0,31.94,17.2,0,0,1,0,1,0,0,0,1,3,0,0,0,15,9,77,135,192.2,8.54,127,54,81.84,170.17
IFOMIZ.Ir.xyz,Ir,VIII ,1.524825,2523.5,2422.6,65.41,299.05,5,2.2,2.17,0,2.45,0,0,0,0,2.46,0,3.05,36.09,17.39,0,29.12,0,0,0,0,17.2,0,83.41,1,0,1,0,0,0,0,2,0,1,1,0,9,77,135,192.2,8.54,127,54,50.49,128.48
IFOQOJ.Os.xyz,Os,VIII ,1.70275,1894,1818.2,68.59,190.16,6,2.2,2.17,0,2.45,0,0,0,2.12,2.46,0,0,25.37,17.39,0,29.12,0,0,0,31.94,17.2,0,0,1,0,1,0,0,0,2,2,0,0,0,0,8,76,130,190.2,8.43,126,57,70.36,136.62
IFOQUP.Ru.xyz,Ru,VIII ,1.669652,1866,1791.4,64.81,185.35,6,2.3,2.17,0,2.45,0,0,0,2.12,2.46,0,0,24.21,17.39,0,29.12,0,0,0,31.94,17.2,0,0,1,0,1,0,0,0,2,2,0,0,0,0,8,44,130,101.1,8.3,125,72,70.36,136.62
IFUQUV.Ru.xyz,Ru,VIII ,1.572756,2171.9,2085,59.63,280.43,9,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,6,0,0,0,0,2,0,0,1,0,8,44,130,101.1,8.3,125,72,64.24,77
IFURAC.Ru.xyz,Ru,VIII ,1.570429,2120.1,2035.3,59.76,162.94,7,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,4,0,0,0,0,2,0,0,0,0,8,44,130,101.1,8.3,125,72,65.01,91.52
IGALAD.Ru.xyz,Ru,VIII ,1.59348,2071.3,1988.4,64.59,266.81,6,2.3,2.17,0,2.45,2.93,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,2,0,0,0,2,0,0,1,0,8,44,130,101.1,8.3,125,72,63.67,102.37
IGESOC.Os.xyz,Os,VIII ,1.577078,2343.1,2249.4,53.98,221.05,6,2.2,2.17,0,2.45,0,0,0,0,2.46,0,3.05,25.37,17.39,0,29.12,0,0,0,0,17.2,0,83.41,2,0,1,0,0,0,0,2,0,1,0,0,8,76,130,190.2,8.43,126,57,49.72,106.04
IGESUI.Os.xyz,Os,VIII ,1.585833,2295.8,2204,68.21,231.89,5,2.2,2.17,0,2.45,0,0,0,0,2.46,0,3.05,25.37,17.39,0,29.12,0,0,0,0,17.2,0,83.41,1,0,1,0,0,0,0,2,0,1,0,0,8,76,130,190.2,8.43,126,57,44.88,106.04
IGETAP.Ru.xyz,Ru,VIII ,1.54189,2227.7,2138.6,55.66,220.08,6,2.3,2.17,0,2.45,0,0,0,0,2.46,0,3.05,24.21,17.39,0,29.12,0,0,0,0,17.2,0,83.41,1,0,2,0,0,0,0,2,0,1,0,0,8,44,130,101.1,8.3,125,72,48.95,96.36
IGIGIQ.Fe.xyz,Fe,VIII ,1.488632,2042.6,1960.9,44.01,268.66,6,1.8,2.17,0,2.45,2.93,0,0,0,2.46,0,0,3.76,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,2,0,0,0,2,0,0,1,7,8,26,140,55.8,7.1,117,62,48.29,86.1
IGIHOX.Fe.xyz,Fe,VIII ,1.466766,2048.2,1966.3,39.09,212.01,5,1.8,2.17,0,2.45,2.93,0,0,0,2.46,0,0,3.76,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,1,0,0,0,2,0,0,0,0,8,26,140,55.8,7.1,117,62,43.63,77.41
IGISOJ.Fe.xyz,Fe,VIII ,1.522412,1952.5,1874.4,49.29,191.85,6,1.8,2.17,0,0,2.93,0,0,2.12,2.46,0,0,3.76,17.39,0,0,0.01,0,0,31.94,17.2,0,0,1,0,0,1,0,0,1,3,0,0,0,7,8,26,140,55.8,7.1,117,62,63.35,124.44
IGISUP.Fe.xyz,Fe,VIII ,1.519905,1927.6,1850.5,50.96,180.65,6,1.8,2.17,0,0,0,0,0,2.12,2.46,0,0,3.76,17.39,0,0,0,0,0,31.94,17.2,0,0,1,0,0,0,0,0,1,4,0,0,0,15,8,26,140,55.8,7.1,117,62,71.79,144.57
