ID,Metal,Group,M-H,VMH1,VMH,BDE,Hydri-G,CoordNum,EN-M,EN-H,EN-B,EN-C,EN-N,EN-O,EN-F,EN-Si,EN-P,EN-S,EN-Cl,EA-M,EA-H,EA-B,EA-C,EA-N,EA-O,EA-F,EA-Si,EA-P,EA-S,EA-Cl,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum,AN-M,AR-M,AW-M,AV-M,MR-M,DP-M,mc-chi2,mc-chi3
IGOCAK.Ir.xyz,Ir,VIII ,1.592751,2219.1,2130.3,76.34,200.64,6,2.2,2.17,0,2.45,2.93,0,0,0,2.46,0,3.05,36.09,17.39,0,29.12,0.01,0,0,0,17.2,0,83.41,1,0,1,1,0,0,0,2,0,1,0,7,9,77,135,192.2,8.54,127,54,56.1,99.44
IHEBUU.Ru.xyz,Ru,VIII ,1.593881,2053.7,1971.6,65.39,210.23,6,2.3,2.17,0,2.45,2.93,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,3,0,0,0,1,0,0,0,0,8,44,130,101.1,8.3,125,72,62.13,92.71
IHOLOG.Os.xyz,Os,VIII ,1.629054,2177.9,2090.8,66.39,303.88,6,2.2,2.17,0,2.45,0,0,0,0,2.46,0,0,25.37,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,3,0,0,0,0,2,0,0,1,0,8,76,130,190.2,8.43,126,57,49.72,110.88
IHOLUM.Os.xyz,Os,VIII ,1.597784,2311.4,2218.9,68.39,294.49,7,2.2,2.17,0,2.45,0,3.61,0,0,2.46,0,0,25.37,17.39,0,29.12,0,33.69,0,0,17.2,0,0,1,0,3,0,1,0,0,2,0,0,1,0,8,76,130,190.2,8.43,126,57,65.78,133.17
IHOMAT.Os.xyz,Os,VIII ,1.615199,2189.2,2101.6,71.4,290.58,9,2.2,2.17,0,2.45,0,0,0,0,2.46,0,0,25.37,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,6,0,0,0,0,2,0,0,1,0,8,76,130,190.2,8.43,126,57,69.85,120.56
IHOROM.Nb.xyz,Nb,VB ,1.697334,1862.9,1788.4,33.55,169.47,12,1.5,2.17,0,2.45,0,0,0,2.14,0,0,0,20.59,17.39,0,29.12,0,0,0,31.13,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,5,41,145,92.9,10.8,134,98,64.02,73.92
IHOTEE.Ir.xyz,Ir,VIII ,1.569944,2317.9,2225.2,73.95,301.65,6,2.2,2.17,0,2.45,2.93,0,0,0,2.46,0,0,36.09,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,3,0,0,0,1,0,0,1,7,9,77,135,192.2,8.54,127,54,44.88,80.3
IHOWIL.Ru.xyz,Ru,VIII ,1.590948,2113.5,2029,59.99,301.16,9,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,6,0,0,0,0,2,0,0,1,0,8,44,130,101.1,8.3,125,72,67.32,153.67
IHOWOR.Ru.xyz,Ru,VIII ,1.588619,2121.2,2036.4,59.84,293.48,9,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,6,0,0,0,0,2,0,0,1,0,8,44,130,101.1,8.3,125,72,67.32,153.67
IHUDUL.Ni.xyz,Ni,VIII ,1.496343,1936.8,1859.3,50.81,186.91,4,1.9,2.17,0,2.45,0,0,0,0,0,2.64,0,26.66,17.39,0,29.12,0,0,0,0,0,47.9,0,1,0,2,0,0,0,0,0,1,0,0,16,10,28,135,58.7,6.6,115,49,28.1,53.58
IHUKAA.Ir.xyz,Ir,VIII ,1.630107,2187.6,2100.1,62.47,192.46,5,2.2,2.17,0,2.45,0,0,0,0,2.46,0,0,36.09,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,2,0,0,0,0,2,0,0,0,6,9,77,135,192.2,8.54,127,54,48.8,86.68
IHUKEE.Ir.xyz,Ir,VIII ,1.600192,2203,2114.9,69.16,184.82,6,2.2,2.17,1.88,2.45,2.93,0,0,0,2.46,0,0,36.09,17.39,6.39,29.12,0.01,0,0,0,17.2,0,0,1,1,1,1,0,0,0,2,0,0,0,0,9,77,135,192.2,8.54,127,54,62.9,101.97
IJEJAI.Ru.xyz,Ru,VIII ,1.574489,2114.4,2029.8,66.81,202.06,8,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,5,0,0,0,0,2,0,0,0,0,8,44,130,101.1,8.3,125,72,59.4,83.38
IJEJEM.Ru.xyz,Ru,VIII ,1.597718,2031.8,1950.5,63.13,191.52,8,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,5,0,0,0,0,2,0,0,0,0,8,44,130,101.1,8.3,125,72,59.4,83.38
IJEMOA.Pt.xyz,Pt,VIII ,1.589028,2189.2,2101.6,58,190.78,4,2.3,2.17,0,0,0,0,0,0,2.46,2.46,0,49.07,17.39,0,0,0,0,0,0,17.2,46.6,0,1,0,0,0,0,0,0,2,1,0,0,15,10,78,135,195.1,9.1,130,48,40.7,87.21
IJEMUG.Pt.xyz,Pt,VIII ,1.576787,2199,2111,68.89,202.4,4,2.3,2.17,0,0,0,0,0,0,2.46,2.46,0,49.07,17.39,0,0,0,0,0,0,17.2,46.6,0,1,0,0,0,0,0,0,1,2,0,0,34,10,78,135,195.1,9.1,130,48,34.27,69.77
IJENAN.Pt.xyz,Pt,VIII ,1.572798,2242.1,2152.4,67.81,201.61,4,2.3,2.17,0,0,0,0,0,0,2.46,2.46,0,49.07,17.39,0,0,0,0,0,0,17.2,46.6,0,1,0,0,0,0,0,0,1,2,0,0,34,10,78,135,195.1,9.1,130,48,34.27,69.77
IKEJOY.Os.xyz,Os,VIII ,1.615055,2179,2091.8,66.34,318.96,10,2.2,2.17,0,2.45,2.93,0,0,0,0,0,0,25.37,17.39,0,29.12,0.01,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,1,0,8,76,130,190.2,8.43,126,57,64.66,59.62
IKEKIT.Ru.xyz,Ru,VIII ,1.568622,2177.4,2090.3,61.73,310.32,9,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,7,0,0,0,0,1,0,0,1,0,8,44,130,101.1,8.3,125,72,54.98,57.86
IKELEQ.Ru.xyz,Ru,VIII ,1.542367,2029,1947.8,54.55,222.45,6,2.3,2.17,0,2.45,0,0,0,0,2.46,2.64,0,24.21,17.39,0,29.12,0,0,0,0,17.2,47.9,0,1,0,2,0,0,0,0,1,2,0,0,0,8,44,130,101.1,8.3,125,72,47.37,91.06
IKIDEN.Ir.xyz,Ir,VIII ,1.535224,2451.7,2353.6,62.24,235.23,5,2.2,2.17,0,2.45,0,0,0,0,2.46,0,3.05,36.09,17.39,0,29.12,0,0,0,0,17.2,0,83.41,1,0,1,0,0,0,0,2,0,1,0,0,9,77,135,192.2,8.54,127,54,46.9,77
IKIDOX.Ir.xyz,Ir,VIII ,1.531758,2471.1,2372.3,63.04,236.45,5,2.2,2.17,0,2.45,0,0,0,0,2.46,0,3.05,36.09,17.39,0,29.12,0,0,0,0,17.2,0,83.41,1,0,1,0,0,0,0,2,0,1,0,0,9,77,135,192.2,8.54,127,54,48.8,78.54
IKITEC.Pd.xyz,Pd,VIII ,1.562176,2047.2,1965.3,56.07,269.86,4,2.2,2.17,0,0,0,0,0,0,2.46,0,0,12.84,17.39,0,0,0,0,0,0,17.2,0,0,1,0,0,0,0,0,0,3,0,0,1,15,10,46,140,106.4,8.9,128,26.1,50.49,134.86
IKIYOQ.Pt.xyz,Pt,VIII ,1.547153,2364.2,2269.6,70.37,239.94,6,2.3,2.17,0,2.45,2.93,0,0,0,0,0,0,49.07,17.39,0,29.12,0.01,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,7,10,78,135,195.1,9.1,130,48,61.49,100.3
IKIZAD.Ru.xyz,Ru,VIII ,1.63588,1986.9,1907.4,67.78,189.42,7,2.3,2.17,0,0,0,0,0,2.12,2.46,0,0,24.21,17.39,0,0,0,0,0,31.94,17.2,0,0,3,0,0,0,0,0,1,3,0,0,0,15,8,44,130,101.1,8.3,125,72,67.32,173.58
IKIZEH.Ru.xyz,Ru,VIII ,1.628653,1977.5,1898.4,66.05,190.89,7,2.3,2.17,0,0,0,0,0,2.12,2.46,0,0,24.21,17.39,0,0,0,0,0,31.94,17.2,0,0,2,0,0,0,0,0,2,3,0,0,0,15,8,44,130,101.1,8.3,125,72,88.99,208.12
IKOCIW.Rh.xyz,Rh,VIII ,1.567903,2140.4,2054.8,47.91,147.52,5,2.3,2.17,0,0,0,0,0,0,2.46,0,0,26.22,17.39,0,0,0,0,0,0,17.2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,9,45,135,102.9,8.3,125,66,69.77,154.49
IKOCOC.Rh.xyz,Rh,VIII ,1.616891,1861.4,1786.9,57.57,151.31,5,2.3,2.17,0,0,0,0,0,0,2.46,0,0,26.22,17.39,0,0,0,0,0,0,17.2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,9,45,135,102.9,8.3,125,66,69.77,154.49
